protein,gn,cancer_mut_count
CXCR6,gnNTr.Cm19,1
CX3CR1,gnNTr.Cm19,0
XCR1,gnNTr.Cm19,0
ACKR1,gnNTr.Cm19,0
ACKR2,gnNTr.Cm19,0
ACKR3,gnNTr.Cm19,1
ACKR4,gnNTr.Cm19,1
CCRL2,gnNTr.Cm19,0
CCR1,gnNTr.Cm18,0
CCR2,gnNTr.Cm18,0
CCR3,gnNTr.Cm18,1
CCR4,gnNTr.Cm18,1
CCR5,gnNTr.Cm18,0
CCR6,gnNTr.Cm18,0
CCR7,gnNTr.Cm18,0
CCR8,gnNTr.Cm18,0
CCR9,gnNTr.Cm18,0
CCR10,gnNTr.Cm18,0
CXCR1,gnNTr.Cm18,0
CXCR2,gnNTr.Cm18,0
CXCR3,gnNTr.Cm18,0
CXCR4,gnNTr.Cm18,0
CXCR5,gnNTr.Cm18,0
CXCR6,gnNTr.Cm18,0
CX3CR1,gnNTr.Cm18,0
XCR1,gnNTr.Cm18,0
ACKR1,gnNTr.Cm18,0
ACKR2,gnNTr.Cm18,0
ACKR3,gnNTr.Cm18,1
ACKR4,gnNTr.Cm18,0
CCRL2,gnNTr.Cm18,0
CCR1,gnNTr.Cm17,1
CCR2,gnNTr.Cm17,0
CCR3,gnNTr.Cm17,0
CCR4,gnNTr.Cm17,0
CCR5,gnNTr.Cm17,0
CCR6,gnNTr.Cm17,0
CCR7,gnNTr.Cm17,0
CCR8,gnNTr.Cm17,0
CCR9,gnNTr.Cm17,0
CCR10,gnNTr.Cm17,0
CXCR1,gnNTr.Cm17,0
CXCR2,gnNTr.Cm17,0
CXCR3,gnNTr.Cm17,0
CXCR4,gnNTr.Cm17,0
CXCR5,gnNTr.Cm17,0
CXCR6,gnNTr.Cm17,0
CX3CR1,gnNTr.Cm17,1
XCR1,gnNTr.Cm17,0
ACKR1,gnNTr.Cm17,0
ACKR2,gnNTr.Cm17,1
ACKR3,gnNTr.Cm17,0
ACKR4,gnNTr.Cm17,0
CCRL2,gnNTr.Cm17,0
CCR1,gnNTr.Cm16,2
CCR2,gnNTr.Cm16,1
CCR3,gnNTr.Cm16,0
CCR4,gnNTr.Cm16,0
CCR5,gnNTr.Cm16,0
CCR6,gnNTr.Cm16,0
CCR7,gnNTr.Cm16,1
CCR8,gnNTr.Cm16,1
CCR9,gnNTr.Cm16,0
CCR10,gnNTr.Cm16,0
CXCR1,gnNTr.Cm16,0
CXCR2,gnNTr.Cm16,0
CXCR3,gnNTr.Cm16,0
CXCR4,gnNTr.Cm16,0
CXCR5,gnNTr.Cm16,0
CXCR6,gnNTr.Cm16,0
CX3CR1,gnNTr.Cm16,0
XCR1,gnNTr.Cm16,0
ACKR1,gnNTr.Cm16,0
ACKR2,gnNTr.Cm16,0
ACKR3,gnNTr.Cm16,1
ACKR4,gnNTr.Cm16,1
CCRL2,gnNTr.Cm16,1
CCR1,gnNTr.Cm15,0
CCR2,gnNTr.Cm15,0
CCR3,gnNTr.Cm15,0
CCR4,gnNTr.Cm15,0
CCR5,gnNTr.Cm15,0
CCR6,gnNTr.Cm15,0
CCR7,gnNTr.Cm15,0
CCR8,gnNTr.Cm15,1
CCR9,gnNTr.Cm15,0
CCR10,gnNTr.Cm15,1
CXCR1,gnNTr.Cm15,0
CXCR2,gnNTr.Cm15,0
CXCR3,gnNTr.Cm15,2
CXCR4,gnNTr.Cm15,0
CXCR5,gnNTr.Cm15,1
CXCR6,gnNTr.Cm15,0
CX3CR1,gnNTr.Cm15,1
XCR1,gnNTr.Cm15,0
ACKR1,gnNTr.Cm15,0
ACKR2,gnNTr.Cm15,0
ACKR3,gnNTr.Cm15,0
ACKR4,gnNTr.Cm15,0
CCRL2,gnNTr.Cm15,0
CCR1,gnNTr.Cm14,0
CCR2,gnNTr.Cm14,0
CCR3,gnNTr.Cm14,0
CCR4,gnNTr.Cm14,0
CCR5,gnNTr.Cm14,0
CCR6,gnNTr.Cm14,0
CCR7,gnNTr.Cm14,0
CCR8,gnNTr.Cm14,0
CCR9,gnNTr.Cm14,0
CCR10,gnNTr.Cm14,2
CXCR1,gnNTr.Cm14,0
CXCR2,gnNTr.Cm14,0
CXCR3,gnNTr.Cm14,0
CXCR4,gnNTr.Cm14,1
CXCR5,gnNTr.Cm14,0
CXCR6,gnNTr.Cm14,0
CX3CR1,gnNTr.Cm14,0
XCR1,gnNTr.Cm14,3
ACKR1,gnNTr.Cm14,0
ACKR2,gnNTr.Cm14,0
ACKR3,gnNTr.Cm14,1
ACKR4,gnNTr.Cm14,0
CCRL2,gnNTr.Cm14,0
CCR1,gnNTr.Cm13,0
CCR2,gnNTr.Cm13,0
CCR3,gnNTr.Cm13,0
CCR4,gnNTr.Cm13,0
CCR5,gnNTr.Cm13,0
CCR6,gnNTr.Cm13,0
CCR7,gnNTr.Cm13,0
CCR8,gnNTr.Cm13,0
CCR9,gnNTr.Cm13,0
CCR10,gnNTr.Cm13,0
CXCR1,gnNTr.Cm13,0
CXCR2,gnNTr.Cm13,0
CXCR3,gnNTr.Cm13,0
CXCR4,gnNTr.Cm13,0
CXCR5,gnNTr.Cm13,0
CXCR6,gnNTr.Cm13,0
CX3CR1,gnNTr.Cm13,0
XCR1,gnNTr.Cm13,0
ACKR1,gnNTr.Cm13,0
ACKR2,gnNTr.Cm13,0
ACKR3,gnNTr.Cm13,0
ACKR4,gnNTr.Cm13,0
CCRL2,gnNTr.Cm13,0
CCR1,gnNTr.Cm12,1
CCR2,gnNTr.Cm12,1
CCR3,gnNTr.Cm12,0
CCR4,gnNTr.Cm12,0
CCR5,gnNTr.Cm12,2
CCR6,gnNTr.Cm12,0
CCR7,gnNTr.Cm12,0
CCR8,gnNTr.Cm12,0
CCR9,gnNTr.Cm12,0
CCR10,gnNTr.Cm12,0
CXCR1,gnNTr.Cm12,0
CXCR2,gnNTr.Cm12,0
CXCR3,gnNTr.Cm12,0
CXCR4,gnNTr.Cm12,1
CXCR5,gnNTr.Cm12,0
CXCR6,gnNTr.Cm12,0
CX3CR1,gnNTr.Cm12,0
XCR1,gnNTr.Cm12,1
ACKR1,gnNTr.Cm12,0
ACKR2,gnNTr.Cm12,0
ACKR3,gnNTr.Cm12,0
ACKR4,gnNTr.Cm12,0
CCRL2,gnNTr.Cm12,0
CCR1,gnNTr.Cm11,0
CCR2,gnNTr.Cm11,0
CCR3,gnNTr.Cm11,0
CCR4,gnNTr.Cm11,0
CCR5,gnNTr.Cm11,0
CCR6,gnNTr.Cm11,0
CCR7,gnNTr.Cm11,0
CCR8,gnNTr.Cm11,1
CCR9,gnNTr.Cm11,0
CCR10,gnNTr.Cm11,0
CXCR1,gnNTr.Cm11,0
CXCR2,gnNTr.Cm11,0
CXCR3,gnNTr.Cm11,0
CXCR4,gnNTr.Cm11,1
CXCR5,gnNTr.Cm11,0
CXCR6,gnNTr.Cm11,0
CX3CR1,gnNTr.Cm11,0
XCR1,gnNTr.Cm11,0
ACKR1,gnNTr.Cm11,0
ACKR2,gnNTr.Cm11,0
ACKR3,gnNTr.Cm11,0
ACKR4,gnNTr.Cm11,0
CCRL2,gnNTr.Cm11,0
CCR1,gnNTr.Cm10,0
CCR2,gnNTr.Cm10,1
CCR3,gnNTr.Cm10,0
CCR4,gnNTr.Cm10,0
CCR5,gnNTr.Cm10,0
CCR6,gnNTr.Cm10,0
CCR7,gnNTr.Cm10,0
CCR8,gnNTr.Cm10,0
CCR9,gnNTr.Cm10,0
CCR10,gnNTr.Cm10,0
CXCR1,gnNTr.Cm10,0
CXCR2,gnNTr.Cm10,0
CXCR3,gnNTr.Cm10,1
CXCR4,gnNTr.Cm10,0
CXCR5,gnNTr.Cm10,0
CXCR6,gnNTr.Cm10,0
CX3CR1,gnNTr.Cm10,0
XCR1,gnNTr.Cm10,0
ACKR1,gnNTr.Cm10,0
ACKR2,gnNTr.Cm10,0
ACKR3,gnNTr.Cm10,0
ACKR4,gnNTr.Cm10,0
CCRL2,gnNTr.Cm10,0
CCR1,gnNTr.Cm9,0
CCR2,gnNTr.Cm9,2
CCR3,gnNTr.Cm9,0
CCR4,gnNTr.Cm9,0
CCR5,gnNTr.Cm9,0
CCR6,gnNTr.Cm9,0
CCR7,gnNTr.Cm9,0
CCR8,gnNTr.Cm9,0
CCR9,gnNTr.Cm9,0
CCR10,gnNTr.Cm9,0
CXCR1,gnNTr.Cm9,0
CXCR2,gnNTr.Cm9,0
CXCR3,gnNTr.Cm9,0
CXCR4,gnNTr.Cm9,2
CXCR5,gnNTr.Cm9,3
CXCR6,gnNTr.Cm9,0
CX3CR1,gnNTr.Cm9,0
XCR1,gnNTr.Cm9,0
ACKR1,gnNTr.Cm9,0
ACKR2,gnNTr.Cm9,0
ACKR3,gnNTr.Cm9,1
ACKR4,gnNTr.Cm9,0
CCRL2,gnNTr.Cm9,0
CCR1,gnNTr.Cm8,0
CCR2,gnNTr.Cm8,0
CCR3,gnNTr.Cm8,1
CCR4,gnNTr.Cm8,0
CCR5,gnNTr.Cm8,0
CCR6,gnNTr.Cm8,1
CCR7,gnNTr.Cm8,2
CCR8,gnNTr.Cm8,0
CCR9,gnNTr.Cm8,0
CCR10,gnNTr.Cm8,0
CXCR1,gnNTr.Cm8,0
CXCR2,gnNTr.Cm8,0
CXCR3,gnNTr.Cm8,0
CXCR4,gnNTr.Cm8,0
CXCR5,gnNTr.Cm8,0
CXCR6,gnNTr.Cm8,0
CX3CR1,gnNTr.Cm8,1
XCR1,gnNTr.Cm8,0
ACKR1,gnNTr.Cm8,0
ACKR2,gnNTr.Cm8,0
ACKR3,gnNTr.Cm8,0
ACKR4,gnNTr.Cm8,0
CCRL2,gnNTr.Cm8,0
CCR1,gnNTr.Cm7,0
CCR2,gnNTr.Cm7,0
CCR3,gnNTr.Cm7,0
CCR4,gnNTr.Cm7,1
CCR5,gnNTr.Cm7,0
CCR6,gnNTr.Cm7,0
CCR7,gnNTr.Cm7,0
CCR8,gnNTr.Cm7,1
CCR9,gnNTr.Cm7,0
CCR10,gnNTr.Cm7,0
CXCR1,gnNTr.Cm7,0
CXCR2,gnNTr.Cm7,0
CXCR3,gnNTr.Cm7,1
CXCR4,gnNTr.Cm7,0
CXCR5,gnNTr.Cm7,0
CXCR6,gnNTr.Cm7,0
CX3CR1,gnNTr.Cm7,0
XCR1,gnNTr.Cm7,0
ACKR1,gnNTr.Cm7,0
ACKR2,gnNTr.Cm7,0
ACKR3,gnNTr.Cm7,0
ACKR4,gnNTr.Cm7,0
CCRL2,gnNTr.Cm7,0
CCR1,gnNTr.Cm6,0
CCR2,gnNTr.Cm6,0
CCR3,gnNTr.Cm6,0
CCR4,gnNTr.Cm6,0
CCR5,gnNTr.Cm6,0
CCR6,gnNTr.Cm6,0
CCR7,gnNTr.Cm6,0
CCR8,gnNTr.Cm6,0
CCR9,gnNTr.Cm6,0
CCR10,gnNTr.Cm6,0
CXCR1,gnNTr.Cm6,0
CXCR2,gnNTr.Cm6,0
CXCR3,gnNTr.Cm6,0
CXCR4,gnNTr.Cm6,0
CXCR5,gnNTr.Cm6,0
CXCR6,gnNTr.Cm6,1
CX3CR1,gnNTr.Cm6,2
XCR1,gnNTr.Cm6,0
ACKR1,gnNTr.Cm6,0
ACKR2,gnNTr.Cm6,0
ACKR3,gnNTr.Cm6,0
ACKR4,gnNTr.Cm6,0
CCRL2,gnNTr.Cm6,0
CCR1,gnNTr.Cm5,0
CCR2,gnNTr.Cm5,0
CCR3,gnNTr.Cm5,1
CCR4,gnNTr.Cm5,0
CCR5,gnNTr.Cm5,0
CCR6,gnNTr.Cm5,1
CCR7,gnNTr.Cm5,0
CCR8,gnNTr.Cm5,0
CCR9,gnNTr.Cm5,0
CCR10,gnNTr.Cm5,0
CXCR1,gnNTr.Cm5,0
CXCR2,gnNTr.Cm5,0
CXCR3,gnNTr.Cm5,0
CXCR4,gnNTr.Cm5,0
CXCR5,gnNTr.Cm5,0
CXCR6,gnNTr.Cm5,0
CX3CR1,gnNTr.Cm5,0
XCR1,gnNTr.Cm5,0
ACKR1,gnNTr.Cm5,0
ACKR2,gnNTr.Cm5,0
ACKR3,gnNTr.Cm5,0
ACKR4,gnNTr.Cm5,0
CCRL2,gnNTr.Cm5,0
CCR1,gnNTr.Cm4,0
CCR2,gnNTr.Cm4,1
CCR3,gnNTr.Cm4,0
CCR4,gnNTr.Cm4,0
CCR5,gnNTr.Cm4,0
CCR6,gnNTr.Cm4,0
CCR7,gnNTr.Cm4,0
CCR8,gnNTr.Cm4,0
CCR9,gnNTr.Cm4,0
CCR10,gnNTr.Cm4,0
CXCR1,gnNTr.Cm4,0
CXCR2,gnNTr.Cm4,0
CXCR3,gnNTr.Cm4,0
CXCR4,gnNTr.Cm4,1
CXCR5,gnNTr.Cm4,0
CXCR6,gnNTr.Cm4,0
CX3CR1,gnNTr.Cm4,0
XCR1,gnNTr.Cm4,0
ACKR1,gnNTr.Cm4,0
ACKR2,gnNTr.Cm4,0
ACKR3,gnNTr.Cm4,0
ACKR4,gnNTr.Cm4,0
CCRL2,gnNTr.Cm4,0
CCR1,gnNTr.Cm3,1
CCR2,gnNTr.Cm3,1
CCR3,gnNTr.Cm3,0
CCR4,gnNTr.Cm3,0
CCR5,gnNTr.Cm3,0
CCR6,gnNTr.Cm3,0
CCR7,gnNTr.Cm3,0
CCR8,gnNTr.Cm3,0
CCR9,gnNTr.Cm3,0
CCR10,gnNTr.Cm3,1
CXCR1,gnNTr.Cm3,0
CXCR2,gnNTr.Cm3,0
CXCR3,gnNTr.Cm3,0
CXCR4,gnNTr.Cm3,1
CXCR5,gnNTr.Cm3,0
CXCR6,gnNTr.Cm3,0
CX3CR1,gnNTr.Cm3,0
XCR1,gnNTr.Cm3,0
ACKR1,gnNTr.Cm3,0
ACKR2,gnNTr.Cm3,0
ACKR3,gnNTr.Cm3,0
ACKR4,gnNTr.Cm3,0
CCRL2,gnNTr.Cm3,0
CCR1,gnNTr.Cm2,0
CCR2,gnNTr.Cm2,0
CCR3,gnNTr.Cm2,0
CCR4,gnNTr.Cm2,0
CCR5,gnNTr.Cm2,0
CCR6,gnNTr.Cm2,0
CCR7,gnNTr.Cm2,1
CCR8,gnNTr.Cm2,0
CCR9,gnNTr.Cm2,0
CCR10,gnNTr.Cm2,0
CXCR1,gnNTr.Cm2,0
CXCR2,gnNTr.Cm2,2
CXCR3,gnNTr.Cm2,0
CXCR4,gnNTr.Cm2,1
CXCR5,gnNTr.Cm2,1
CXCR6,gnNTr.Cm2,0
CX3CR1,gnNTr.Cm2,0
XCR1,gnNTr.Cm2,0
ACKR1,gnNTr.Cm2,0
ACKR2,gnNTr.Cm2,0
ACKR3,gnNTr.Cm2,0
ACKR4,gnNTr.Cm2,0
CCRL2,gnNTr.Cm2,0
CCR1,gnNTr.Cm1,1
CCR2,gnNTr.Cm1,0
CCR3,gnNTr.Cm1,0
CCR4,gnNTr.Cm1,0
CCR5,gnNTr.Cm1,1
CCR6,gnNTr.Cm1,0
CCR7,gnNTr.Cm1,0
CCR8,gnNTr.Cm1,0
CCR9,gnNTr.Cm1,0
CCR10,gnNTr.Cm1,0
CXCR1,gnNTr.Cm1,0
CXCR2,gnNTr.Cm1,0
CXCR3,gnNTr.Cm1,0
CXCR4,gnNTr.Cm1,0
CXCR5,gnNTr.Cm1,0
CXCR6,gnNTr.Cm1,0
CX3CR1,gnNTr.Cm1,0
XCR1,gnNTr.Cm1,2
ACKR1,gnNTr.Cm1,0
ACKR2,gnNTr.Cm1,0
ACKR3,gnNTr.Cm1,1
ACKR4,gnNTr.Cm1,1
CCRL2,gnNTr.Cm1,0
CCR1,gn1x22,0
CCR2,gn1x22,0
CCR3,gn1x22,0
CCR4,gn1x22,0
CCR5,gn1x22,0
CCR6,gn1x22,0
CCR7,gn1x22,0
CCR8,gn1x22,1
CCR9,gn1x22,0
CCR10,gn1x22,0
CXCR1,gn1x22,0
CXCR2,gn1x22,0
CXCR3,gn1x22,0
CXCR4,gn1x22,0
CXCR5,gn1x22,0
CXCR6,gn1x22,0
CX3CR1,gn1x22,0
XCR1,gn1x22,0
ACKR1,gn1x22,0
ACKR2,gn1x22,0
ACKR3,gn1x22,0
ACKR4,gn1x22,0
CCRL2,gn1x22,0
CCR1,gn1x23,0
CCR2,gn1x23,0
CCR3,gn1x23,1
CCR4,gn1x23,0
CCR5,gn1x23,0
CCR6,gn1x23,0
CCR7,gn1x23,0
CCR8,gn1x23,0
CCR9,gn1x23,0
CCR10,gn1x23,1
CXCR1,gn1x23,0
CXCR2,gn1x23,1
CXCR3,gn1x23,1
CXCR4,gn1x23,0
CXCR5,gn1x23,0
CXCR6,gn1x23,0
CX3CR1,gn1x23,0
XCR1,gn1x23,1
ACKR1,gn1x23,0
ACKR2,gn1x23,2
ACKR3,gn1x23,1
ACKR4,gn1x23,0
CCRL2,gn1x23,1
CCR1,gn1x24,0
CCR2,gn1x24,0
CCR3,gn1x24,0
CCR4,gn1x24,0
CCR5,gn1x24,0
CCR6,gn1x24,1
CCR7,gn1x24,0
CCR8,gn1x24,0
CCR9,gn1x24,0
CCR10,gn1x24,1
CXCR1,gn1x24,0
CXCR2,gn1x24,0
CXCR3,gn1x24,0
CXCR4,gn1x24,2
CXCR5,gn1x24,0
CXCR6,gn1x24,0
CX3CR1,gn1x24,0
XCR1,gn1x24,0
ACKR1,gn1x24,0
ACKR2,gn1x24,0
ACKR3,gn1x24,0
ACKR4,gn1x24,0
CCRL2,gn1x24,0
CCR1,gn1x25,0
CCR2,gn1x25,0
CCR3,gn1x25,0
CCR4,gn1x25,0
CCR5,gn1x25,0
CCR6,gn1x25,0
CCR7,gn1x25,0
CCR8,gn1x25,0
CCR9,gn1x25,0
CCR10,gn1x25,0
CXCR1,gn1x25,1
CXCR2,gn1x25,0
CXCR3,gn1x25,0
CXCR4,gn1x25,0
CXCR5,gn1x25,0
CXCR6,gn1x25,0
CX3CR1,gn1x25,1
XCR1,gn1x25,0
ACKR1,gn1x25,0
ACKR2,gn1x25,1
ACKR3,gn1x25,0
ACKR4,gn1x25,0
CCRL2,gn1x25,0
CCR1,gn1x26,0
CCR2,gn1x26,1
CCR3,gn1x26,1
CCR4,gn1x26,0
CCR5,gn1x26,0
CCR6,gn1x26,0
CCR7,gn1x26,0
CCR8,gn1x26,0
CCR9,gn1x26,0
CCR10,gn1x26,1
CXCR1,gn1x26,0
CXCR2,gn1x26,1
CXCR3,gn1x26,0
CXCR4,gn1x26,0
CXCR5,gn1x26,0
CXCR6,gn1x26,1
CX3CR1,gn1x26,1
XCR1,gn1x26,0
ACKR1,gn1x26,0
ACKR2,gn1x26,0
ACKR3,gn1x26,0
ACKR4,gn1x26,0
CCRL2,gn1x26,0
CCR1,gn1x27,0
CCR2,gn1x27,0
CCR3,gn1x27,0
CCR4,gn1x27,1
CCR5,gn1x27,0
CCR6,gn1x27,1
CCR7,gn1x27,0
CCR8,gn1x27,0
CCR9,gn1x27,0
CCR10,gn1x27,0
CXCR1,gn1x27,0
CXCR2,gn1x27,0
CXCR3,gn1x27,0
CXCR4,gn1x27,0
CXCR5,gn1x27,1
CXCR6,gn1x27,NA
CX3CR1,gn1x27,0
XCR1,gn1x27,0
ACKR1,gn1x27,NA
ACKR2,gn1x27,0
ACKR3,gn1x27,0
ACKR4,gn1x27,0
CCRL2,gn1x27,1
CCR1,gn1x28,0
CCR2,gn1x28,0
CCR3,gn1x28,0
CCR4,gn1x28,1
CCR5,gn1x28,0
CCR6,gn1x28,0
CCR7,gn1x28,2
CCR8,gn1x28,0
CCR9,gn1x28,0
CCR10,gn1x28,0
CXCR1,gn1x28,0
CXCR2,gn1x28,0
CXCR3,gn1x28,0
CXCR4,gn1x28,0
CXCR5,gn1x28,0
CXCR6,gn1x28,NA
CX3CR1,gn1x28,1
XCR1,gn1x28,0
ACKR1,gn1x28,NA
ACKR2,gn1x28,0
ACKR3,gn1x28,0
ACKR4,gn1x28,0
CCRL2,gn1x28,0
CCR1,gn1x29,0
CCR2,gn1x29,0
CCR3,gn1x29,2
CCR4,gn1x29,0
CCR5,gn1x29,0
CCR6,gn1x29,1
CCR7,gn1x29,0
CCR8,gn1x29,0
CCR9,gn1x29,0
CCR10,gn1x29,0
CXCR1,gn1x29,NA
CXCR2,gn1x29,NA
CXCR3,gn1x29,0
CXCR4,gn1x29,0
CXCR5,gn1x29,0
CXCR6,gn1x29,NA
CX3CR1,gn1x29,0
XCR1,gn1x29,NA
ACKR1,gn1x29,NA
ACKR2,gn1x29,0
ACKR3,gn1x29,0
ACKR4,gn1x29,0
CCRL2,gn1x29,0
CCR1,gn1x291,NA
CCR2,gn1x291,NA
CCR3,gn1x291,NA
CCR4,gn1x291,NA
CCR5,gn1x291,NA
CCR6,gn1x291,NA
CCR7,gn1x291,NA
CCR8,gn1x291,NA
CCR9,gn1x291,NA
CCR10,gn1x291,NA
CXCR1,gn1x291,NA
CXCR2,gn1x291,NA
CXCR3,gn1x291,NA
CXCR4,gn1x291,NA
CXCR5,gn1x291,0
CXCR6,gn1x291,NA
CX3CR1,gn1x291,NA
XCR1,gn1x291,NA
ACKR1,gn1x291,NA
ACKR2,gn1x291,NA
ACKR3,gn1x291,NA
ACKR4,gn1x291,NA
CCRL2,gn1x291,NA
CCR1,gn1x292,NA
CCR2,gn1x292,NA
CCR3,gn1x292,NA
CCR4,gn1x292,NA
CCR5,gn1x292,NA
CCR6,gn1x292,NA
CCR7,gn1x292,NA
CCR8,gn1x292,NA
CCR9,gn1x292,NA
CCR10,gn1x292,NA
CXCR1,gn1x292,NA
CXCR2,gn1x292,NA
CXCR3,gn1x292,NA
CXCR4,gn1x292,NA
CXCR5,gn1x292,0
CXCR6,gn1x292,NA
CX3CR1,gn1x292,NA
XCR1,gn1x292,NA
ACKR1,gn1x292,NA
ACKR2,gn1x292,NA
ACKR3,gn1x292,NA
ACKR4,gn1x292,NA
CCRL2,gn1x292,NA
CCR1,gn1x293,NA
CCR2,gn1x293,NA
CCR3,gn1x293,NA
CCR4,gn1x293,NA
CCR5,gn1x293,NA
CCR6,gn1x293,NA
CCR7,gn1x293,NA
CCR8,gn1x293,NA
CCR9,gn1x293,NA
CCR10,gn1x293,NA
CXCR1,gn1x293,NA
CXCR2,gn1x293,NA
CXCR3,gn1x293,NA
CXCR4,gn1x293,NA
CXCR5,gn1x293,0
CXCR6,gn1x293,NA
CX3CR1,gn1x293,NA
XCR1,gn1x293,NA
ACKR1,gn1x293,NA
ACKR2,gn1x293,NA
ACKR3,gn1x293,NA
ACKR4,gn1x293,NA
CCRL2,gn1x293,NA
CCR1,gn1x30,0
CCR2,gn1x30,0
CCR3,gn1x30,0
CCR4,gn1x30,0
CCR5,gn1x30,0
CCR6,gn1x30,1
CCR7,gn1x30,0
CCR8,gn1x30,0
CCR9,gn1x30,0
CCR10,gn1x30,0
CXCR1,gn1x30,0
CXCR2,gn1x30,0
CXCR3,gn1x30,0
CXCR4,gn1x30,0
CXCR5,gn1x30,0
CXCR6,gn1x30,0
CX3CR1,gn1x30,0
XCR1,gn1x30,0
ACKR1,gn1x30,0
ACKR2,gn1x30,0
ACKR3,gn1x30,0
ACKR4,gn1x30,0
CCRL2,gn1x30,0
CCR1,gn1x31,1
CCR2,gn1x31,0
CCR3,gn1x31,1
CCR4,gn1x31,0
CCR5,gn1x31,1
CCR6,gn1x31,1
CCR7,gn1x31,0
CCR8,gn1x31,0
CCR9,gn1x31,0
CCR10,gn1x31,0
CXCR1,gn1x31,0
CXCR2,gn1x31,1
CXCR3,gn1x31,0
CXCR4,gn1x31,0
CXCR5,gn1x31,0
CXCR6,gn1x31,1
CX3CR1,gn1x31,0
XCR1,gn1x31,0
ACKR1,gn1x31,0
ACKR2,gn1x31,0
ACKR3,gn1x31,0
ACKR4,gn1x31,0
CCRL2,gn1x31,0
CCR1,gn1x32,3
CCR2,gn1x32,0
CCR3,gn1x32,1
CCR4,gn1x32,0
CCR5,gn1x32,0
CCR6,gn1x32,1
CCR7,gn1x32,1
CCR8,gn1x32,0
CCR9,gn1x32,0
CCR10,gn1x32,1
CXCR1,gn1x32,1
CXCR2,gn1x32,0
CXCR3,gn1x32,0
CXCR4,gn1x32,0
CXCR5,gn1x32,1
CXCR6,gn1x32,0
CX3CR1,gn1x32,0
XCR1,gn1x32,0
ACKR1,gn1x32,0
ACKR2,gn1x32,0
ACKR3,gn1x32,0
ACKR4,gn1x32,0
CCRL2,gn1x32,1
CCR1,gn1x33,0
CCR2,gn1x33,0
CCR3,gn1x33,0
CCR4,gn1x33,0
CCR5,gn1x33,0
CCR6,gn1x33,0
CCR7,gn1x33,0
CCR8,gn1x33,0
CCR9,gn1x33,0
CCR10,gn1x33,0
CXCR1,gn1x33,0
CXCR2,gn1x33,0
CXCR3,gn1x33,0
CXCR4,gn1x33,0
CXCR5,gn1x33,0
CXCR6,gn1x33,0
CX3CR1,gn1x33,0
XCR1,gn1x33,0
ACKR1,gn1x33,0
ACKR2,gn1x33,0
ACKR3,gn1x33,0
ACKR4,gn1x33,0
CCRL2,gn1x33,0
CCR1,gn1x34,0
CCR2,gn1x34,0
CCR3,gn1x34,0
CCR4,gn1x34,0
CCR5,gn1x34,0
CCR6,gn1x34,0
CCR7,gn1x34,0
CCR8,gn1x34,0
CCR9,gn1x34,0
CCR10,gn1x34,0
CXCR1,gn1x34,0
CXCR2,gn1x34,0
CXCR3,gn1x34,0
CXCR4,gn1x34,0
CXCR5,gn1x34,0
CXCR6,gn1x34,0
CX3CR1,gn1x34,0
XCR1,gn1x34,4
ACKR1,gn1x34,0
ACKR2,gn1x34,0
ACKR3,gn1x34,2
ACKR4,gn1x34,0
CCRL2,gn1x34,0
CCR1,gn1x35,1
CCR2,gn1x35,0
CCR3,gn1x35,0
CCR4,gn1x35,0
CCR5,gn1x35,0
CCR6,gn1x35,0
CCR7,gn1x35,0
CCR8,gn1x35,1
CCR9,gn1x35,0
CCR10,gn1x35,0
CXCR1,gn1x35,0
CXCR2,gn1x35,0
CXCR3,gn1x35,1
CXCR4,gn1x35,0
CXCR5,gn1x35,0
CXCR6,gn1x35,0
CX3CR1,gn1x35,0
XCR1,gn1x35,0
ACKR1,gn1x35,0
ACKR2,gn1x35,0
ACKR3,gn1x35,0
ACKR4,gn1x35,0
CCRL2,gn1x35,0
CCR1,gn1x36,0
CCR2,gn1x36,0
CCR3,gn1x36,0
CCR4,gn1x36,0
CCR5,gn1x36,1
CCR6,gn1x36,1
CCR7,gn1x36,0
CCR8,gn1x36,1
CCR9,gn1x36,0
CCR10,gn1x36,0
CXCR1,gn1x36,0
CXCR2,gn1x36,0
CXCR3,gn1x36,0
CXCR4,gn1x36,0
CXCR5,gn1x36,0
CXCR6,gn1x36,0
CX3CR1,gn1x36,0
XCR1,gn1x36,0
ACKR1,gn1x36,0
ACKR2,gn1x36,0
ACKR3,gn1x36,0
ACKR4,gn1x36,0
CCRL2,gn1x36,0
CCR1,gn1x37,1
CCR2,gn1x37,1
CCR3,gn1x37,0
CCR4,gn1x37,0
CCR5,gn1x37,0
CCR6,gn1x37,0
CCR7,gn1x37,0
CCR8,gn1x37,0
CCR9,gn1x37,0
CCR10,gn1x37,0
CXCR1,gn1x37,0
CXCR2,gn1x37,0
CXCR3,gn1x37,0
CXCR4,gn1x37,0
CXCR5,gn1x37,0
CXCR6,gn1x37,0
CX3CR1,gn1x37,0
XCR1,gn1x37,0
ACKR1,gn1x37,0
ACKR2,gn1x37,0
ACKR3,gn1x37,1
ACKR4,gn1x37,1
CCRL2,gn1x37,0
CCR1,gn1x38,0
CCR2,gn1x38,0
CCR3,gn1x38,0
CCR4,gn1x38,0
CCR5,gn1x38,0
CCR6,gn1x38,0
CCR7,gn1x38,0
CCR8,gn1x38,0
CCR9,gn1x38,0
CCR10,gn1x38,0
CXCR1,gn1x38,0
