chemokine,chemokine_alternate_name,gpcr,PMID,author_date_journal,data_synopsis,binding_kd_ki_nm,binding_ec50_ic50_nm,signaling_ec50_ic50_nm,chemotaxis_ec50_ic50_nm,chemotaxis_max_nm,data_comment,ligand_type,interaction_strength,evidence_grade,other_comment
CCL5,RANTES,CCR5,10477718,"Blanpain, et al. 1999. Blood","""As an example, the pIC50 obtained in one experiment using [125I]-MCP-2 [CCL8] as tracer were 9.61 ± 0.09 for MCP-2 [CCL8], 9.17 ± 0.21 for MIP-1_ [CCL4], 9.14 ± 0.15 for RANTES [CCL5], 9.03 ± 0.13 for MIP-1_ [CCL3], and 7.82 ± 0.14 for MCP-3 [CCL7]""; Calcium Flux pEC50 8.87 ± 0.37 (Table 1)",,9.14,1.3,,,Binding assay: competition; Binding ligand: 125I-CCL8; Binding cells: transfected CHO-K1 cells; Signaling assay: aequorin-baed calcium flux assay; Signaling cells: CHO-K1 cells,agonist,3,A,Calcium flux EC50 obtained from pEC50 by taking 10^(-pEC50)
CCL5,RANTES,CCR6,9294137,"Power, et al. 1995. J Bio Chem","""As shown in Fig. 7,A, preexposure of cells to 1 _M concentrations of IL-8 [CXCL8], GRO_ [CXCL1], NAP-2 [CXCL7], or IP-10 [CXCL10] had no significant effect on the calcium signal induced by 100 nM MIP-3_ (n = 4). Preincubation with 500 nM to 1 _M concentrations of nine human CC chemokines (MCP-1 [CCL2], MIP-1_ [CCL3], MIP-1_ [CCL4], MIP-5 [CCL15], RANTES [CCL5], eotaxin [CCL11], HCC-1 [CCL14], I-309 [CCL1], and fractalkine [CX3CL1]), also had no effect significant on MIP-3_ [CCL20]–induced calcium responses (n = 4; see Fig. 7,B), although preincubation with both 1 _M RANTES [CCL5] and 1 _M HCC-1 [CCL14] did decrease the MIP-3_ [CCL20]–induced calcium response in two out of four experiments. Indeed, only preincubation with 1 _M MIP-3_ [CCL20] led to a significant decrease in MIP-3_ [CCL20]–induced calcium responses""",,,,,,Signaling assay: desenitization assay (reduction in calcium-flux after CCL20 stimulation following initial treatment with indicated chemokine); Signaling cells: transiently transfected HEK293,no interaction,0,D,
CCL5,RANTES,CCR6,9169459,"Baba, et al. 1997. J Biol Chem","""competition of LARC [CCL20]-SEAP(His)6 binding to GPR-CY4 [CCR6] by various CC chemokines. Raji cells stably transfected with GPR-CY4 [CCR6] (2 _ 10e5 cells) were incubated with 1 nm LARC [CCL20]-SEAP(His)6 in the presence of indicated chemokines at 200 nm""",,,,,,Binding assay: saturation and compeition; Binding ligand: CCL20-SEAP; Binding cells: stably transfected Raji cells,no interaction,0,C,Single point competition assay of indicated ligand at 200nM against stably-expressing CCR6 cells incubated with 1nM CCL20
CCL5,RANTES,CCR7,9153236,"Yoshida, et al. 1997. J Biol Chem","""As shown in Fig.6, by displacement experiments, ELC [CCL19]-Flag fully competed with ELC [CCL19]-SEAP for EBI1 [CCR7] with an IC50 of 18 nm. In contrast, no other CC chemokines such as MCP-1 [CCL2] (66, 67), MCP-2 [CCL8] (63), MCP-3 [CCL7] (64), eotaxin [CCL11] (30), MIP-1_/LD78_ [CCL3/CCL3L1] (62), MIP-1_ [CCL4] (60), RANTES [CCL5] (61), TARC [CCL17] (53), and LARC [CCL20] (38) were capable of competing with ECL[sic][CCL19]-SEAP for EBI1 [CCR7] (Fig. 6 B). These results indicated that ELC [CCL19] is a highly specific high affinity ligand for EBI1 [CCR7]""",,,,,,Binding assay: competition (single point); Binding ligand: CCL19-SEAP; Binding cells: stably transfected K562 cells,no interaction,0,C,"Chemokines tested at single dose (200nM): ""displacement of ELC-SEAP by other chemokines. K562 cells stably transfected with EBI1 (2 _ 105 cells) were incubated at 16 °C for 1 h with 1 nm of ELC-SEAP in the presence of indicated chemokines at 200 nm"""
CCL5,RANTES,CXCR3,9660793,"Weng, et al. 1998. J Biol Chem","""Eotaxin [CCL11] and MCP-4 [CCL13] have Ki values of 60 and 70 nm, whereas MCP-3 [CCL7] and RANTES [CCL5] have lower affinities with Ki values of 250 and 420 nm, respectively. Because CCR6 and CCR7 are phylogenetically more closely related to CXCR3 than is CCR3, we also examined the ability of their ligands (MIP-3_ [CCL20] and MIP-3_ [CCL19]) to bind to CXCR3. MIP-3_ [CCL20] does bind with some affinity (Ki = 160 nm), although MIP-3_ [CCL19] shows very little activity (Ki = 1700 nm). Similarly, MIP 1_ [CCL3], MIP1_ [CCL4], and MCP-1 [CCL2], ligands for CCRs 1, 2, and 5 (reviewed in Ref. 1) show little or no affinity for the receptor (data not shown)""",420,,,,,Binding assay: competition; Binding ligand: 125I-CXCL10; Binding cells: stably-expressing CHO,ND,2,A,Ligand binding also measured for some ligands in activated T cells and RBL cell line; only consider CHO line here
CCL5,RANTES,CXCR3,35720349,"D'Uonnolo, et al. 2022. Front Immunol","""(A) miniG protein or (B) _-arrestin recruitment towards CXCR3-A and CXCR3-B in response to CXCL11, CXCL10, CXCL9 and the negative control CCL5 monitored by NanoBiT-based assay. (C) Heterotrimeric G protein dissociation upon CXCR3-A or CXCR3-B stimulation with CXCL11, CXCL10, CXCL9 and CCL5 monitored by NanoBRET""",,,,,,Signaling assay: multiple (see synopsis),no interaction,0,A,
CCL5,RANTES,ACKR1,7517400,"Horuk, et al. 1994. J Biol Chem","""As shown in Fig.2 increasing concentrations of unlabeled IL-8 [CXCL8], MGSA [CXCL1], RANTES [CCL5], and MCP-1 [CCL2] dose-responsively displaced 1251-IL-8 [CXCL8] binding to HEL cells. The Kd values for this displacement were around 5-10 nM""",5,,,,,Binding assay: competition; Binding ligand: 125I-CXCL8; Binding cells: transfected HEL cells,ND,3,A,"Specific Kd not listed, range given as 5-10nM, Kd og 5nM listed in table"
CCL5,RANTES,ACKR1,7592697,"Szabo, et al. 1995. J Biol Chem","""The Kd and number of binding sites per cell (data not shown) derived from any combination of labeled RANTES [CCL5] and MGSA/gro [CXCL1] displaced by unlabeled RANTES [CCL5], MGSA/gro [CXCL1] or MCP-1 [CCL2] were similar to each other (2-10 nM) (7)""",5.69,,,,,Binding assay: competition; Binding ligand: 125I-CCL5 and 125I-CXCL1; Binding cells: purified human erythrocytes,ND,3,A,"Evidence level ""A"" however caution should be noted since human erythrocytes were used and full chemokine receptor profile not fully assessed"
CCL5,RANTES,ACKR1,15358176,"Gardner, et al. 1994. Biochem Biophys Res Commun","""the ability of heterologous unlabelled chemokines to displace specific 125I-CXCL-8 binding was examined. In these cross-competition experiments 125I-CXCL-8 was incubated with erythrocytes in the presence of increasing concentrations of 30 different chemokines over the range 0.1 to 1000 nM...chemokines could be classified into three categories: those that showed strong binding (Ki < 100 nM), weak binding (Ki 100 nM–1 lM), and no binding (Ki > 1 lM) (Table 1)""; CCL5 (RANTES) Ki 5.6nM (Table 1) (PMID 15358176).",5.6,,,,,Binding assay: competition; Binding ligand: 125I-CXCL8,ND,3,A,
CCL4,MIP-1b,ACKR2,15067078,"Bonecchi, et al. 2004. J Immunol","""To better characterize the spectrum of chemokines recognized and scavenged by D6, D6/CHO-K1 transfectants were incubated for 3 h with 1.2 nM of various chemokines. At the end of the incubation, the chemokine concentration in the supernatant was measured by ELISA. As shown in Fig. 1, among known D6 ligands, the inflammatory CC chemokines CCL5 and CCL11 were scavenged with the highest efficiency (94.3 ± 0.2 and 92.5 ± 2.1% of the initially seeded chemokine, respectively). CCL7, CCL4, CCL2, and CCL3L1 were scavenged with intermediate efficiency (85.1 ± 0.5, 83.9 ± 2.9, 76.5 ± 2.2, and 76.0 ± 6.6% of the initially seeded chemokine, respectively). Interestingly, CCL3 and CCL3L1, which only differ in the presence of a serine or a proline residue in position 2, were scavenged with different efficacies (29.0 ± 4.1 and 76.0 ± 6.6% of the initially seeded chemokine, respectively), in agreement with previous results reporting that only the CCL3L1 variant is a high affinity D6 ligand (14). CCL1, which does not bind D6 (7), was the only inflammatory CC chemokine tested not scavenged by D6 (3.1 ± 1.4% of the initially seeded chemokine). None of the chemokines tested was scavenged by untransfected CHO-K1 cells. Unlike CC inflammatory chemokines, the homeostatic chemokines CCL19 and CCL20, agonists at CCR7 and CCR6, respectively, were not scavenged (8.2 ± 9.2 and 6.7 ± 12.5% of the initially seeded chemokine, respectively). As expected (7), the CXC chemokine CXCL8 was not scavenged by D6 transfectants (2.4 ± 7.3% of the initially seeded chemokine)""",,,,,,Other assay: scavenging assay (incubation of ACKR2-transfected versus untranbsfected cells with chemokines and assessment of supernatant for chemokines by ELISA); Other cells: ACKR2-transfected CHO-K1 cells,agonist,ND,D,"Evidence level ""D"" given because of indirect assay; ""agonist"" inferred because of increased agonist scavenging with ACKR2 ransfection, suggesting ligand-mediated internalization"
CCL5,RANTES,ACKR2,9405404,"Nibbs, et al. 1997. J Biol Chem","""Ligand displacement analysis was performed on CHO cells stably expressing hD6 [ACKR2], and the data from these studies are outlined in Fig. 3,A and B and summarized in TableI""",3.6,,,,,Binding assay: competition; Binding cells: transfected CHO cells; Binding ligand: 125I-CCL3 (murine),ND,3,A,
CCL5,RANTES,ACKR2,37153591,"Szpakowska, et al. 2023. Front Immunol","""Supplementary Figure 1. ACKR2 activation by different ligands. _-arrestin-1 recruitment to ACKR2 induced by known and the newly proposed ligands such as CCL26,  CXCL2 and CXCL10 monitored by Nanoluciferase complementation assay (NanoBiT). CXCL1 was used as negative control""",,,,,,Signaling assay: NanoBiT B-arrestin recruitment; Signaling cells: transfected HEK293T,agonist,3,A,"Concentration-dependent B-arrestin recruitment observed (""A""-level evidence; Supp. Table 1). While EC50 not listed for this ligand, can be approximated from figure (Supp. Figure 1) as ~1nM"
CCL5,RANTES,ACKR4,32480426,"Meyrath, et al. 2021. J Leukoc Biol","""systematic screening program aiming at reassessing the agonist activity of the 43 human chemokines (24 CCLs, 16 CXCLs, 2 XCLs, and 1 CX3CL) and 2 viral chemokines (vCCL1 and vCCL2) toward ACKR4, by monitoring _-arrestin recruitment to the receptor using a highly sensitive Nanoluciferase complementation-based assay (NanoBiT) (Fig. 1A).20–22 In agreement with the initial description by Matti and co-authors, our systematic analysis also identified CCL20 as an ACKR4 ligand capable of inducing _-arrestin-1 and _-arrestin-2 recruitment to the receptor and behaving as a partial agonist (80% efficacy) with a potency (EC50 = 42 nM) somewhat lower than potencies observed for CCL19 (EC50 = 3 nM), CCL21 (EC50 = 5 nM), and CCL25 (EC50 = 24 nM) (Fig. 1B)""",,,,,,Signaling assay:  _-arrestin recruitment using NanoBiT; Signaling cells: U87 cells,no interaction,0,C,"Note that this paper performs both single point assays with ligands at 100nM (43 chemokines) and dose-response assays (9 chemokines, 7 of which are native human chemokines); Evidence Grade ""C"" for this ligand because conclusion of ""no interaction"" derived from single concentration point"
CCL7,MCP-3,CCR1,7545673,"Ben-Baruch, et al. 1995. J Biol Chem","""YT4/293 cells also specifically bound 125I-MCP3 [CCL7] with 21,000 (± 2400) sites/cell with high affinity (Kd = 0.7 nM) (Fig. 2A)""; ""Fig. 5 shows that MCP3 [CCL7] and MIP1_ [CCL3] as well as Rantes [CCL5] all induced significant migration of YT4/293 cells in vitro. The optimal concentrations for these C-C ligands to induce YT4/293 cell migration was about 6-12 nM (50-100 ng/ml). However, MCP3 [CCL7] consistently was the most potent chemoattractant (Fig. 5A) compared with MIP1_  [CCL3] (Fig. 5B) and Rantes [CCL5] (Fig. 5C)""",0.7,,,,6,Binding assay: competition; Binding ligand: 125I-CCL7; Binding cells: transfected YT4/293 cells; Chemotaxis assay: transwell; Chemotaxis cells: YT4/293 cells,agonist,3,A,
CCL7,MCP-3,CCR1,8530354,"Combadiere, et al. 1995. J Biol Chem","""125I-MCP-3 [CCL7] bound to CC CKR1 [CCR1] could be competed by MCP-3 [CCL7], MIP-1_ [CCL3], RANTES [CCL5], and MIP-1_ [CCL4], whereas MCP-1 [CCL2] and IL-8 [CXCL8] had no effect. The Ki values were 8, 10, 15, and 75 nM, respectively, for MCP-3 [CCL7], MIP-1_ [CCL3], RANTES [CCL5], and MIP-1_ [CCL4]""; ""CC CKR1 [CCR1] transfectants responded to MCP-3 [CCL7] (Fig. 1A).""",8,,,,,Binding assay: competition; Binding ligand: 125I-CCL7; Binding cells: transfected HEK293 cells; Signaling assay: calcium flux: Signaling cells: stably transfected HEK293 cells,agonist,3,A,"Evidence level ""A"" from binding assay; calcium flux only done at single dose"
CCL7,MCP-3,CCR2,8530354,"Combadiere, et al. 1995. J Biol Chem","""125I-MCP-3 [CCL7] bound to CC CKR2B [CCR2] could only be competed by MCP-1 [CCL2] and MCP-3 [CCR7] (Ki~7 nM for each)""; "" As previously reported by Franci et al.(18), CC CKR2B [CCR2] transfectants responded selectively to MCP-1 [CCL2] and MCP-3 [CCL7]""",7,,,,,Binding assay: competition; Binding ligand: 125I-CCL7; Binding cells: transfected HEK293 cells; Signaling assay: calcium flux: Signaling cells: stably transfected HEK293 cells,agonist,3,A,"Evidence level ""A"" from binding assay; calcium flux only done at single dose"
CCL7,MCP-3,CCR2,28536301,"Huma, et al, 2017. Sci Signal","""The three chemokines induced recruitment of _-arr2 with different potencies and statistically significantly different maximal effects, Emax (P < 0.01; Fig. 1A and Table 1); relative to MCP-1 [CCL2], the Emax values of MCP-2 [CCL8] and MCP-3 [CCL7] were 23 ± 3% and 56 ± 4%, respectively. In the two amplified signaling assays, the three chemokines exhibited the same maximal effects but statistically significantly different potencies and higher potencies than in the _-arr2 assay (Fig. 1, B and C, and Table 1). The order of potencies between the three agonists in the amplified assays was the same as the order of their maximal effects in the proximal assay. Moreover, the same rank order of binding affinities was also observed in a radioligand-binding assay (Fig. 1D and Table 1). These results are in agreement with the effects of MCP chemokines reported previously (13)""; Table 1 Barr pEC50 = 7.33nM; cAMP inhibition pEC50 = 8.47nM; ERK1/2 phosphorylation pEC50 8.09nM; binding assay pKi: 9.50nM",0.32,,3.4,,,Binding assay: competition; Binding ligand: 125I-CCL2; Binding cells: Flp-In T-Rex 293 cells; Signaling assay: Barr-2 recruitment BRET (expressing CCR2-RLuc8 and _-arr2–YFP) and cAMP inhibition; Signaling cells: Flp-In T-Rex 293 cells,agonist,3,A,"EC50, Ki, etc values in table calculated from reported pEC50, pKi by taking 10^(-pEC50) or 10^(-pKi); Functional value listed in cAMP inhibition EC50 which is lowest (most potent) among those listed; data suggests that CCL8 is a partial CCR2 agonist relative to CCL2"
CCL7,MCP-3,CCR3,8642344,"Daugherty, et al. 1996. J Exp Med","""Cross-competition studies with other B-chemokines known to be potent eosinophil chemoattractants, MCP-3 [CCL7] and RANTES [CCL5], demonstrated that they bound to CC CKR3 [CCR3] with Kds of about 3 nM (Fig. 3 a, Table 1)...Competition binding studies were also carried out against 12SI-MCP-3 [CCL7]. Again, human and murine eotaxin [CCL11] competed strongly with Kds of 0.2 and 0.3 nM, respectively (Fig 3 b, Table 1). MCP-3 [CCL7] and RANTES [CCL5] also demonstrated high affinity, with Kds of 0.7 and 0.5 nM, values about fourfold lower than measured against 12SI-eotaxin [CCL11]""; ""Surprisingly, 100 nM of MCP-3 [CCL7] was required to induce a response, and that response was smaller than those observed for eotaxin or RANTES [CCL5] (Fig. 4)""",0.7,,,,,Binding assay: competition; Binding ligand: 125I-CCL11 and 125I-CCL7; Binding cells: transfected AML14.3010 cells,agonist,3,A,Listed Kd is from compeition binding study using 125I-CCL7 as hot ligand; weak calcium flux suggests partial agonism 
CCL7,MCP-3,CCR3,12450563,"Wan, et al. 2002. Eur J Pharmacol","""a [35S]GTP_S binding assay was developed using membranes from CHO-K1 cells expressing CCR3. The capacity of all known CCR3 ligands to stimulate [35S]GTP_S binding was compared (Fig. 3). Table 2 summarizes the potency and efficacy of these ligands... Eotaxin-3 [CCL26], MCP-3 [CCL7] and RANTES [CCL5] were less potent and less efficacious agonists""",,14.4,,,,Binding assay: GTPgS binding; Binding cells: transfected CHO-K1 cells; Binding ligand: 35S-GTPgS,agonist,3,A,"GTPgS EC50 14.4; GTPgS is both a binding assay and functional assay reporting on receptor activation; Emax 50% relative to that of CCL11, therefore CCL7 is partial agonist"
CCL7,MCP-3,CCR4,9430724,"Imai, et al. 1998. J Biol Chem","""To examine specificity of binding to CCR4, six additional chemokines were tested for competition of MDC [CCL22]-SEAP binding. A 200-fold molar excess of each chemokine was tested for competition with a constant quantity of MDC [CCL22]-SEAP (0.5 nm), presented in Fig. 2 D. The chemokines MCP-1 [CCL2], MCP-3 [CCL7], MCP-4 [CCL13], RANTES [CCL5], MIP-1_ [CCL3], and MIP-1_ [CCL4] did not compete for binding of MDC-SEAP to CCR4""",,,,,,Binding assay: competition (single point); Binding cells: transfected L1.2; Binding ligand: CCL22-SEAP,no interaction,0,C,Single point compeition binding assay with ligand at 100nM
CCL7,MCP-3,CCR5,10477718,"Blanpain, et al. 1999. Blood","""MCP-2 [CCL8], MCP-3 [CCL7], MCP-4 [CCL13], MCP-1 [CCL2], and eotaxin [CCL11] binding was characterized by IC50 values of 0.22, 2.14, 5.89, 29.9, and 21.7 nmol/L, respectively. Among these ligands, MCP-3 [CCL7] had the remarkable property of binding CCR5 with high affinity without eliciting a functional response, MCP-3 [CCL7] could also inhibit the activation of CCR5 by MIP-1_ [CCL4] and may therefore be considered as a natural antagonist for CCR5""",,2.14,,,,Binding assay: competition; Binding ligand: 125I-CCL4; Binding cells: transfected CHO-K1 cells; Signaling assay: aequorin-baed calcium flux assay; Signaling cells: CHO-K1 cells,antagonist,3,A,
CCL7,MCP-3,CCR5,11861332,"Mueller, et al. 2002. Br J Pharmacol","""In order to investigate the activation of G proteins via CCR5, the stimulation of [35S]-GTP_S binding was examined...MCP-3 [CCL7] and MCP-4 [CCL13] do not activate CCR5 at all in this assay""; ""MCP-3 [CCL7] (50nM) and MCP-4 [CCL13](50nM) were unable to induce receptor phosphorylation""; ""The extent of change in intracellular calcium ions was similar for the different ligands... MCP-3 [CCL7] did not increase intracellular calcium ions in the cells even when used at 100nM (Figure 8)""",,,,,,"Binding assay: GTPgS; Binding cells: CHO-CCR5 cells: Binding ligand: 35S-GTPgS; Signaling assay: calcium flux, receptor phosphorylation; Signaling cells: CCR5-CHO",antagonist,ND,C,
CCL7,MCP-3,CCR7,9153236,"Yoshida, et al. 1997. J Biol Chem","""As shown in Fig.6, by displacement experiments, ELC [CCL19]-Flag fully competed with ELC [CCL19]-SEAP for EBI1 [CCR7] with an IC50 of 18 nm. In contrast, no other CC chemokines such as MCP-1 [CCL2] (66, 67), MCP-2 [CCL8] (63), MCP-3 [CCL7] (64), eotaxin [CCL11] (30), MIP-1_/LD78_ [CCL3/CCL3L1] (62), MIP-1_ [CCL4] (60), RANTES [CCL5] (61), TARC [CCL17] (53), and LARC [CCL20] (38) were capable of competing with ECL[sic][CCL19]-SEAP for EBI1 [CCR7] (Fig. 6 B). These results indicated that ELC [CCL19] is a highly specific high affinity ligand for EBI1 [CCR7]""",,,,,,Binding assay: competition (single point); Binding ligand: CCL19-SEAP; Binding cells: stably transfected K562 cells,no interaction,0,C,"Chemokines tested at single dose (200nM): ""displacement of ELC-SEAP by other chemokines. K562 cells stably transfected with EBI1 (2 _ 105 cells) were incubated at 16 °C for 1 h with 1 nm of ELC-SEAP in the presence of indicated chemokines at 200 nm"""
CCL7,MCP-3,CXCR3,9660793,"Weng, et al. 1998. J Biol Chem","""Eotaxin [CCL11] and MCP-4 [CCL13] have Ki values of 60 and 70 nm, whereas MCP-3 [CCL7] and RANTES [CCL5] have lower affinities with Ki values of 250 and 420 nm, respectively. Because CCR6 and CCR7 are phylogenetically more closely related to CXCR3 than is CCR3, we also examined the ability of their ligands (MIP-3_ [CCL20] and MIP-3_ [CCL19]) to bind to CXCR3. MIP-3_ [CCL20] does bind with some affinity (Ki = 160 nm), although MIP-3_ [CCL19] shows very little activity (Ki = 1700 nm). Similarly, MIP 1_ [CCL3], MIP1_ [CCL4], and MCP-1 [CCL2], ligands for CCRs 1, 2, and 5 (reviewed in Ref. 1) show little or no affinity for the receptor (data not shown)""",250,,,,,Binding assay: competition; Binding ligand: 125I-CXCL10; Binding cells: stably-expressing CHO,ND,2,A,Ligand binding also measured for some ligands in activated T cells and RBL cell line; only consider CHO line here
CCL7,MCP-3,ACKR1,15358176,"Gardner, et al. 1994. Biochem Biophys Res Commun","""the ability of heterologous unlabelled chemokines to displace specific 125I-CXCL-8 binding was examined. In these cross-competition experiments 125I-CXCL-8 was incubated with erythrocytes in the presence of increasing concentrations of 30 different chemokines over the range 0.1 to 1000 nM...chemokines could be classified into three categories: those that showed strong binding (Ki < 100 nM), weak binding (Ki 100 nM–1 lM), and no binding (Ki > 1 lM) (Table 1)""; CCL7 (MCP-3) Ki 6.6nM (Table 1) (PMID 15358176).",6.6,,,,,Binding assay: competition; Binding ligand: 125I-CXCL8,ND,3,A,
CCL7,MCP-3,ACKR2,15067078,"Bonecchi, et al. 2004. J Immunol","""To better characterize the spectrum of chemokines recognized and scavenged by D6, D6/CHO-K1 transfectants were incubated for 3 h with 1.2 nM of various chemokines. At the end of the incubation, the chemokine concentration in the supernatant was measured by ELISA. As shown in Fig. 1, among known D6 ligands, the inflammatory CC chemokines CCL5 and CCL11 were scavenged with the highest efficiency (94.3 ± 0.2 and 92.5 ± 2.1% of the initially seeded chemokine, respectively). CCL7, CCL4, CCL2, and CCL3L1 were scavenged with intermediate efficiency (85.1 ± 0.5, 83.9 ± 2.9, 76.5 ± 2.2, and 76.0 ± 6.6% of the initially seeded chemokine, respectively). Interestingly, CCL3 and CCL3L1, which only differ in the presence of a serine or a proline residue in position 2, were scavenged with different efficacies (29.0 ± 4.1 and 76.0 ± 6.6% of the initially seeded chemokine, respectively), in agreement with previous results reporting that only the CCL3L1 variant is a high affinity D6 ligand (14). CCL1, which does not bind D6 (7), was the only inflammatory CC chemokine tested not scavenged by D6 (3.1 ± 1.4% of the initially seeded chemokine). None of the chemokines tested was scavenged by untransfected CHO-K1 cells. Unlike CC inflammatory chemokines, the homeostatic chemokines CCL19 and CCL20, agonists at CCR7 and CCR6, respectively, were not scavenged (8.2 ± 9.2 and 6.7 ± 12.5% of the initially seeded chemokine, respectively). As expected (7), the CXC chemokine CXCL8 was not scavenged by D6 transfectants (2.4 ± 7.3% of the initially seeded chemokine)""",,,,,,Other assay: scavenging assay (incubation of ACKR2-transfected versus untranbsfected cells with chemokines and assessment of supernatant for chemokines by ELISA); Other cells: ACKR2-transfected CHO-K1 cells,agonist,ND,D,"Evidence level ""D"" given because of indirect assay; ""agonist"" inferred because of increased agonist scavenging with ACKR2 ransfection, suggesting ligand-mediated internalization"
CCL7,MCP-3,ACKR2,37153591,"Szpakowska, et al. 2023. Front Immunol","""Supplementary Figure 1. ACKR2 activation by different ligands. _-arrestin-1 recruitment to ACKR2 induced by known and the newly proposed ligands such as CCL26,  CXCL2 and CXCL10 monitored by Nanoluciferase complementation assay (NanoBiT). CXCL1 was used as negative control""",,,,,,Signaling assay: NanoBiT B-arrestin recruitment; Signaling cells: transfected HEK293T,agonist,3,A,"Concentration-dependent B-arrestin recruitment observed (""A""-level evidence; Supp. Table 1). While EC50 not listed for this ligand, can be approximated from figure (Supp. Figure 1) as ~1nM"
CCL7,MCP-3,ACKR2,9405404,"Nibbs, et al. 1997. J Biol Chem","""Ligand displacement analysis was performed on CHO cells stably expressing hD6 [ACKR2], and the data from these studies are outlined in Fig. 3,A and B and summarized in TableI""",1.2,,,,,Binding assay: competition; Binding cells: transfected CHO cells; Binding ligand: 125I-CCL3 (murine),ND,3,A,
CCL7,MCP-3,ACKR4,32480426,"Meyrath, et al. 2021. J Leukoc Biol","""systematic screening program aiming at reassessing the agonist activity of the 43 human chemokines (24 CCLs, 16 CXCLs, 2 XCLs, and 1 CX3CL) and 2 viral chemokines (vCCL1 and vCCL2) toward ACKR4, by monitoring _-arrestin recruitment to the receptor using a highly sensitive Nanoluciferase complementation-based assay (NanoBiT) (Fig. 1A).20–22 In agreement with the initial description by Matti and co-authors, our systematic analysis also identified CCL20 as an ACKR4 ligand capable of inducing _-arrestin-1 and _-arrestin-2 recruitment to the receptor and behaving as a partial agonist (80% efficacy) with a potency (EC50 = 42 nM) somewhat lower than potencies observed for CCL19 (EC50 = 3 nM), CCL21 (EC50 = 5 nM), and CCL25 (EC50 = 24 nM) (Fig. 1B)""; ""CCL22 was not the only CCR4-related chemokine acting on ACKR4. CCL17, the second ligand of CCR4, showed detectable activity toward ACKR4 but statistical significance was not reached for this pairing. A similar low activity was also observed for sev- eral other human CC chemokines including CCL7, CCL13, CCL14, CCL26, and CCL27""",,,,,,Signaling assay:  _-arrestin recruitment using NanoBiT; Signaling cells: U87 cells,agonist,ND,C,"Note that this paper performs both single point assays with ligands at 100nM (43 chemokines) and dose-response assays (9 chemokines, 7 of which are native human chemokines); Evidence Grade ""C"" for this ligand because conclusion of ""no interaction"" derived from single concentration point"
CCL8,MCP-2,CCR1,9115216,"Gong, et al. 1997. J Biol Chem","""The parental HEK 293 cells and cells transfected with vector alone did not bind 125I-MCP-2 [CCL8], nor did they migrate in response to any of the C-C chemokines, including MCP-2 [CCL8] (Ref. 12 and data not shown). HEK 293 cells stably transfected with CCR1 (CCR1/293 cells) showed a high level of specific binding for 125I-MCP-2 [CCL8] (Fig. 2A) and also bound radiolabeled MIP-1a [CCL3] (Fig. 2B) and MCP-3 [CCL7] (Ref. 12). The binding affinity of 125I- MCP-2 [CCL8] for CCR1/293 cells is comparable with 125I-MIP-1a [CCL3] (Kd = 5 ± 2 nM and 4 ± 0.8 nM, respectively, Fig. 2, A and B), but lower than 125I-MCP-3 [CCL7] (Kd = 0.7 nM, Ref. 12)""; ""Fig. 3A shows that MCP-2 [CCL8] induced significant migration of CCR1/293 cells in vitro. The MCP-2 [CCL8] concentrations required to elicit optimal cell response ranged from 6 to 12 nM (50–100 ng/ml)""",5,,,,12,Binding assay: competition; Binding ligand: 125I-CCL8; Binding cells: transfected HEK293; Chemotaxis assay: transwell; Chemotaxis cells: transfected HEK293,agonist,3,A,Max chemotaxis concentration extrapolated from Fig. 3A
CCL8,MCP-2,CCR1,12381680,"Chou, et al. 2002. Br J Pharmacol","""Functionally,  chemokine  potency  in  stimulating  [35S]-GTPgS exchange varied considerably (Figure 1, Table 1)...Both MIP-1b [CCL4], and MCP-2 [CCL8] were reasonably  potent (EC50=10 ± 20 nM)""",19.8,,,,,Binding assay: 35S-GTPgS; Binding ligand: CCL8; Binding cells: membranes from transfected Ba/F3 cells,agonist,3,A,"GTPgS assay is a binding assay as well as a functional assay; Ki reported in binding Ki column; ""In this recombinantsystem, all the chemokines tested with the exception of MCP-2 [CCL8] appeared fully effective in stimulating [35S]-GTPgS binding"" – suggestion that CCL8 is partial CCR1 agonist"
